Name,.fi,.io,.xyz,.com,.finance,.co,.tech,.money,.sol,.solana,USPTO,EUIPO,INPI-BR,Crypto Conflict,Google P1,X,IG,TG,Brand /10,Rationale,Fatal Flags
Guap,✓,✗,✗,✗,✗,✗,✓,✗,"AVAILABLE ([sns.id](https://www.sns.id/search?query=guap), [sns.id](https://www.sns.id))",AVAILABLE ([freename.io](https://freename.io)),CLEAR,CLEAR ([euipo.europa.eu](https://euipo.europa.eu/eSearch/)),CLEAR ([inpi.gov.br](https://inpi.gov.br)),CONFLICT (Guapcoin [CoinMarketCap](https://coinmarketcap.com/currencies/guapcoin/)),"OCCUPIED (Big Sean song, Wikipedia, GUAP Magazine, Urban Dictionary slang for money)","TAKEN (GUAP, 7k followers, joined 2019)","TAKEN (GUAP Magazine, 98k followers)",AVAILABLE,6,Strong US slang for money but short/abrupt; pronounceable but feels American-only.,NONE
Guita,✓,✓,✗,✗,✓,✗,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id/?q=Guita), [Bonfida](https://bonfida.org), no listings [Magic Eden/Tensor](https://www.tensor.trade), [https://magiceden.io](https://magiceden.io))",AVAILABLE ([freename.io](https://freename.io)),"CLEAR (no live marks found in USPTO searches [tmsearch.uspto.gov](https://tmsearch.uspto.gov), [search.uspto.gov](https://search.uspto.gov))",CLEAR (no live conflicts found [EUIPO eSearch](https://euipo.europa.eu/eSearch/)),CLEAR (no live conflicts found [INPI BuscaWeb](https://gru.inpi.gov.br/emarcas/)),"CONFLICT (Guita GUITA token on Solana Raydium [DEXScreener](https://dexscreener.com/solana/ea4nszrhlyfet9ycnl9ru2ipceopx6xgr3wgwj1z1cvv), [Solflare](https://www.solflare.com/prices/guita/3Ceai77MyAbZSjweh4G1wWEkCZ22Wmd6B9oHYf554ayn/))","OCCUPIED (Gachiakuta anime/manga character dominates, musician, Spanish/Portuguese slang for money [Google search](tool result))","TAKEN (inactive personal account, 154 followers [x.com/Guita](https://x.com/Guita))",AVAILABLE ([instagram.com/Guita](https://www.instagram.com/Guita)),AVAILABLE ([t.me/Guita](https://t.me/Guita)),7,Brazilian Portuguese slang for money; clean one-word brand but PT-specific cultural signal.,"RISK (Brazilian/Argentinian/Spanish slang for ""money"", ideal for DeFi but potential genericism; no offensive/vulgar meanings in EN/PT/ES/FR/DE)"
Guito,✓,✓,✓,✗,✓,✓,✓,✓,"AVAILABLE ([SNS.id](https://www.sns.id/?search=Guito), [Bonfida](https://www.bonfida.org/domains/Guito.sol))",AVAILABLE ([Freename.io](https://freename.io/search?query=Guito)),CLEAR,CLEAR,"CONFLICT (mentioned in INPI publications, old records)",CLEAR,"OCCUPIED (Brazilian singer/actor Guito, Urban Dictionary slang entry, musician profiles)",AVAILABLE,TAKEN (low activity profile G13),AVAILABLE,6,"Short, PT slang but has ethnic slur connotation (Italian-American) in US English — minor but real.",NONE
Scrilla,✓,✗,✗,✗,✓,✗,✗,✓,"AVAILABLE ([sns.id](https://sns.id/?search=scrilla), no listing on Bonfida/Magic Eden/Tensor)",UNCLEAR (freename.io search unavailable),CLEAR (no results found on uspto.gov),CLEAR (no results on euipo.europa.eu),CLEAR (no results on inpi.gov.br),CONFLICT (Scrilla token/platform on [CoinMarketCap](https://coinmarketcap.com/currencies/scrilla/)),"OCCUPIED (rapper Wikipedia, Facebook page, Urban/slANG dictionary [Wiktionary](https://en.wiktionary.org/wiki/scrilla), music/Spotify)","TAKEN (by rapper/music account, 7.6k followers, inactive [x.com/Scrilla](https://x.com/Scrilla))",TAKEN (music/rap accounts like @scrillammg Emmy/Grammy nominee),UNCLEAR (t.me/Scrilla unavailable),5,"English hip-hop slang for money; too US-specific, drug/street connotation for RWA finance brand.",US drug/street-hustle slang connotation — wrong for RWA lending brand
Skrilla,✓,✗,✗,✗,✓,✗,✗,✓,"UNCLEAR. No listings found on Magic Eden [Magic Eden](https://magiceden.io), Tensor; 404 on sns.id/search [SNS](https://www.sns.id/search?domain=skrilla), bonfida.org/names [Bonfida](https://bonfida.org/names/skrilla.sol)",UNCLEAR. Search page blocked [Freename](https://freename.io/search?query=skrilla),"CLEAR. No live marks in classes 9,36,42 found [USPTO search](https://tmsearch.uspto.gov/), third-party sites show old/abandoned like SKRILLA SCRATCH ENTERTAINMENT [TrademarkElite](https://www.trademarkelite.com/trademark/trademark-detail/78201857/SKRILLA-SCRATCH-ENTERTAINMENT)",CLEAR. No results for live EU trademarks [EUIPO eSearch](https://euipo.europa.eu/eSearch/),CLEAR. No results for live Brazilian trademarks [INPI Busca](https://servicos.busca.inpi.gov.br),CONFLICT (Skrilla Token esports wagering SKR on Ethereum [CryptoSlate](https://cryptoslate.com/coins/skrilla/); minor Pump.fun memecoins on Solana [DEXScreener](https://dexscreener.com/solana/75k4hhttmby5cmafhru4q46txhmg13rs5l3vemkbpump)),"OCCUPIED (Philadelphia rapper Skrilla Wikipedia top result, music videos, Spotify, Instagram [Google](https://google.com/search?q=Skrilla))","TAKEN (likely rapper-related from search, direct check blocked)","TAKEN (paymeskrilla 500k+ followers, rapper [Instagram](https://www.instagram.com/paymeskrilla/))",AVAILABLE (no channel found at t.me/Skrilla),4,Same as Scrilla plus phonetic clash with Skrill (major European fintech).,Phonetic clash with Skrill (major EU fintech wallet)
Racks,✓,✗,✗,✗,✗,✗,✓,✓,"UNCLEAR. No registration found on sns.id or bonfida; not listed on Magic Eden or Tensor. [sns.id](https://www.sns.id/?q=racks.sol), [Bonfida](https://names.bonfida.org/search?q=racks.sol)",UNCLEAR. freename.io search unavailable. [freename.io](https://freename.io),"CLEAR. No live registrations found in classes 9,36,42. [USPTO TESS](https://tmsearch.uspto.gov/)","CLEAR. No live conflicts in classes 9,36,42. [EUIPO eSearch](https://euipo.europa.eu/eSearch/)",CLEAR. No live Brazilian trademark conflicts found. [INPI BR](https://www.gov.br/inpi/pt-br),CONFLICT (BlackRack RACKS token on Solana [CoinGecko](https://www.coingecko.com/en/coins/blackrack)),"OCCUPIED (storage racks, shelving units from Tractor Supply, Gladiator, Uline etc.)",TAKEN,TAKEN,TAKEN,5,English slang but generic and has server-rack ambiguity; weak in non-English markets.,NONE
Rackfi,✓,✓,✗,✗,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id/), [bonfida.org](https://www.bonfida.org/))",AVAILABLE ([freename.io](https://freename.io/)),CLEAR,CLEAR,CLEAR,CLEAR,CLEAN,AVAILABLE,AVAILABLE,AVAILABLE,5,Awkward compound; inherits Racks weakness plus -fi suffix feels copycat.,NONE
Benjamins,✓,✗,✗,✗,✓,✓,✓,✗,"UNCLEAR. No evidence of registration on sns.id, bonfida.org, Magic Eden, or Tensor. Searches returned no specific info on Benjamins.sol. [sns.id](https://www.sns.id/), [Bonfida](https://www.bonfida.org/)",UNCLEAR. No evidence found on freename.io searches. Site blocked. [Freename](https://freename.io/),"CLEAR. No live registrations found in classes 9,36,42. [USPTO](https://www.uspto.gov/trademarks/search)",CLEAR. No conflicts found. [EUIPO eSearch](https://euipo.europa.eu/eSearch/),CLEAR. No live Brazilian trademarks found. [INPI](https://www.gov.br/inpi/pt-br),"CONFLICT (Benjamins BEN token on CoinMarketCap [coinmarketcap.com/currencies/benjamins/](https://coinmarketcap.com/currencies/benjamins/), BENJAMIN/SOL on DEXScreener [dexscreener.com/solana/9oona42u6arywkf9htbwkmwk4nn1vze2w3bmhlcgnwg1](https://dexscreener.com/solana/9oona42u6arywkf9htbwkmwk4nn1vze2w3bmhlcgnwg1))","OCCUPIED (slang dictionary for $100 bills [Merriam-Webster](https://www.merriam-webster.com/dictionary/Benjamin), Puff Daddy song, movie All About the Benjamins, music band, publisher)",AVAILABLE. twitter.com/Benjamins and x.com/Benjamins not found or accessible.,AVAILABLE. instagram.com/Benjamins not found.,AVAILABLE. t.me/Benjamins not found.,5,"Too long, US-only slang for $100 bills, phonetic clash with Franklin Templeton's BENJI token.",Same BENJI confusion risk + US-only cultural cue
Benj,✓,✗,✗,✗,✓,✗,✓,✓,"UNCLEAR. No evidence found of registration on [sns.id](https://sns.id/), [bonfida.org](https://www.bonfida.org). No listings on Magic Eden or Tensor.",UNCLEAR. No evidence on [freename.io](https://freename.io).,"CLEAR. No live registrations found in classes 9,36,42 on USPTO searches.",CLEAR. No live conflicts found on EUIPO eSearch.,CLEAR. No live Brazilian trademark conflicts found on INPI.,"CONFLICT (BENJAMIN token on Solana [DEXScreener](https://dexscreener.com/solana/9oona42u6arywkf9htbwkmwk4nn1vze2w3bmhlcgnwg1), BENJI Franklin Templeton RWA on Solana [DeFiLlama](https://defillama.com/rwa/asset/benji)).","OCCUPIED (Instagram rapper Ben J [instagram.com/benjofnewboyz](https://www.instagram.com/benjofnewboyz/), Spotify artists, web developer [benjdzn.com](https://benjdzn.com), Wiktionary archaic bhang).",TAKEN,"TAKEN (rapper Ben J, 108k followers)",UNCLEAR,4,Stub syllable; weak brand standalone and tied to BENJI token confusion.,NONE
Benjifi,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://sns.id/#/Benjifi.sol), [bonfida.org](https://bonfida.org))",AVAILABLE ([freename.io](https://freename.io)),CLEAR,CLEAR,CLEAR,CLEAR,OCCUPIED (mostly results about gamer benjyfishy),AVAILABLE,AVAILABLE,AVAILABLE,4,Direct clash risk with Franklin Templeton's BENJI on-chain fund; -fi suffix inflation.,Risk of confusion with Franklin Templeton BENJI on-chain money-market fund
